season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeStreak5,AwayStreak5,matchid,HomeStreak3,AwayStreak3,PointsHome,PointsAway,winner,HomeResult5,AwayResult5,AwayScored,AwayConceded,HomeConceded,HomeScored,DifH,DifA,DifPoints
1112,2011-09-09,Milan,Lazio,2,2,D,0,0,1,0,0, , ,noone, , , , , , ,0,0,
1112,2011-09-10,Cesena,Napoli,1,3,A,0,0,2,0,0, , ,Napoli, , , , , , ,0,0,
1112,2011-09-11,Catania,Siena,0,0,D,0,0,3,0,0, , ,noone, , , , , , ,0,0,
1112,2011-09-11,Chievo,Novara,2,2,D,0,0,4,0,0, , ,noone, , , , , , ,0,0,
1112,2011-09-11,Fiorentina,Bologna,2,0,H,0,0,5,0,0, , ,Fiorentina, , , , , , ,0,0,
1112,2011-09-11,Genoa,Atalanta,2,2,D,0,0,6,0,0, , ,noone, , , , , , ,0,0,
1112,2011-09-11,Juventus,Parma,4,1,H,0,0,7,0,0, , ,Juventus, , , , , , ,0,0,
1112,2011-09-11,Lecce,Udinese,0,2,A,0,0,8,0,0, , ,Udinese, , , , , , ,0,0,
1112,2011-09-11,Palermo,Inter,4,3,H,0,0,9,0,0, , ,Palermo, , , , , , ,0,0,
1112,2011-09-11,Roma,Cagliari,1,2,A,0,0,10,0,0, , ,Cagliari, , , , , , ,0,0,
1112,2011-09-17,Cagliari,Novara,2,1,H,1,0,11,1,0,3,1,Cagliari,0,1,2,2,1,2,1,0,2
1112,2011-09-17,Inter,Roma,0,0,D,0,0,12,0,0,0,0,noone,0,0,1,2,4,3,-1,-1,0
1112,2011-09-18,Atalanta,Palermo,1,0,H,0,1,13,0,1,1,3,Atalanta,1,3,4,3,2,2,0,1,-2
1112,2011-09-18,Bologna,Lecce,0,2,A,0,0,14,0,0,0,0,Lecce,0,0,0,2,2,0,-2,-2,0
1112,2011-09-18,Catania,Cesena,1,0,H,0,0,15,0,0,1,0,Catania,1,0,1,3,0,0,0,-2,1
1112,2011-09-18,Lazio,Genoa,1,2,A,0,0,16,0,0,1,1,Genoa,1,1,2,2,2,2,0,0,0
1112,2011-09-18,Napoli,Milan,3,1,H,1,0,17,1,0,3,1,Napoli,0,1,2,2,1,3,2,0,2
1112,2011-09-18,Parma,Chievo,2,1,H,0,0,18,0,0,0,1,Parma,0,1,2,2,4,1,-3,0,-1
1112,2011-09-18,Siena,Juventus,0,1,A,0,1,19,0,1,1,3,Juventus,1,3,4,1,0,0,0,3,-2
1112,2011-09-18,Udinese,Fiorentina,2,0,H,1,1,20,1,1,3,3,Udinese,0,3,2,0,0,2,2,2,0
1112,2011-09-20,Novara,Inter,3,1,H,0,0,21,0,0,1,1,Novara,1,1,3,4,4,3,-1,-1,0
1112,2011-09-21,Cesena,Lazio,1,2,A,0,0,22,0,0,0,1,Lazio,0,1,3,4,4,1,-3,-1,-1
1112,2011-09-21,Chievo,Napoli,1,0,H,0,2,23,0,2,1,6,Chievo,1,6,6,2,4,3,-1,4,-5
1112,2011-09-21,Fiorentina,Parma,3,0,H,1,1,24,1,1,3,3,Fiorentina,0,3,3,5,2,2,0,-2,0
1112,2011-09-21,Genoa,Catania,3,0,H,1,1,25,1,1,4,4,Genoa,1,4,1,0,3,4,1,1,0
1112,2011-09-21,Juventus,Bologna,1,1,D,2,0,26,2,0,6,0,noone,0,0,0,4,1,5,4,-4,6
1112,2011-09-21,Lecce,Atalanta,1,2,A,1,1,27,1,1,3,4,Atalanta,0,4,3,2,2,2,0,1,-1
1112,2011-09-21,Milan,Udinese,1,1,D,0,2,28,0,2,1,6,noone,1,6,4,0,5,3,-2,4,-5
1112,2011-09-21,Palermo,Cagliari,3,2,H,1,2,29,1,2,3,6,Palermo,0,6,4,2,4,4,0,2,-3
1112,2011-09-22,Roma,Siena,1,1,D,0,0,30,0,0,1,1,noone,1,1,0,1,2,1,-1,-1,0
1112,2011-09-24,Bologna,Inter,1,3,A,0,0,31,0,0,1,1,Inter,1,1,4,7,5,1,-4,-3,0
1112,2011-09-24,Milan,Cesena,1,0,H,0,0,32,0,0,2,0,Milan,2,0,2,6,6,4,-2,-4,2
1112,2011-09-24,Napoli,Fiorentina,0,0,D,2,2,33,2,2,6,6,noone,0,6,5,2,3,6,3,3,0
1112,2011-09-25,Atalanta,Novara,2,1,H,2,1,34,2,1,7,4,Atalanta,1,4,6,5,3,5,2,1,3
1112,2011-09-25,Cagliari,Udinese,0,0,D,2,2,35,2,2,6,7,noone,0,7,5,1,5,6,1,4,-1
