season,FTHG,FTAG,FTR,HomeStreak5,AwayStreak5,matchid,HomeStreak3,AwayStreak3,PointsHome,PointsAway,HomeResult5,AwayResult5,AwayScored,AwayConceded,HomeConceded,HomeScored,DifH,DifA,DifPoints,HV5,AV5,HV3,AV3
1112,2,2,D,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1112,1,3,A,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1112,0,0,D,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1112,2,2,D,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1112,2,0,H,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1112,2,2,D,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1112,4,1,H,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1112,0,2,A,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1112,4,3,H,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1112,1,2,A,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1112,2,1,H,1,0,11,1,0,3,1,0,1,2,2,1,2,1,0,2,0,0,0,0
1112,0,0,D,0,0,12,0,0,0,0,0,0,1,2,4,3,-1,-1,0,0,0,0,0
1112,1,0,H,0,1,13,0,1,1,3,1,3,4,3,2,2,0,1,-2,0,0,0,0
1112,0,2,A,0,0,14,0,0,0,0,0,0,0,2,2,0,-2,-2,0,0,0,0,0
1112,1,0,H,0,0,15,0,0,1,0,1,0,1,3,0,0,0,-2,1,0,0,0,0
1112,1,2,A,0,0,16,0,0,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0
1112,3,1,H,1,0,17,1,0,3,1,0,1,2,2,1,3,2,0,2,0,0,0,0
1112,2,1,H,0,0,18,0,0,0,1,0,1,2,2,4,1,-3,0,-1,0,0,0,0
1112,0,1,A,0,1,19,0,1,1,3,1,3,4,1,0,0,0,3,-2,0,0,0,0
1112,2,0,H,1,1,20,1,1,3,3,0,3,2,0,0,2,2,2,0,0,0,0,0
1112,3,1,H,0,0,21,0,0,1,1,1,1,3,4,4,3,-1,-1,0,0,0,0,0
1112,1,2,A,0,0,22,0,0,0,1,0,1,3,4,4,1,-3,-1,-1,0,0,0,0
1112,1,0,H,0,2,23,0,2,1,6,1,6,6,2,4,3,-1,4,-5,0,0,0,0
1112,3,0,H,1,1,24,1,1,3,3,0,3,3,5,2,2,0,-2,0,0,0,0,0
1112,3,0,H,1,1,25,1,1,4,4,1,4,1,0,3,4,1,1,0,0,0,0,0
1112,1,1,D,2,0,26,2,0,6,0,0,0,0,4,1,5,4,-4,6,0,0,0,0
1112,1,2,A,1,1,27,1,1,3,4,0,4,3,2,2,2,0,1,-1,0,0,0,0
